,loss
502,-0.7147672176361084
503,-0.7125383615493774
504,-0.7044201493263245
505,-0.7177334427833557
506,-0.7084330916404724
507,-0.7126672863960266
508,-0.7167662978172302
509,-0.7127378582954407
510,-0.7180432081222534
511,-0.716747522354126
512,-0.7187262177467346
513,-0.7176597714424133
514,-0.7183747291564941
515,-0.7202725410461426
516,-0.7167109251022339
517,-0.7212642431259155
518,-0.7192487716674805
519,-0.7207642793655396
520,-0.7207547426223755
521,-0.7205392122268677
522,-0.7008727192878723
523,-0.7243728637695312
524,-0.718930184841156
525,-0.7226225733757019
526,-0.7221396565437317
527,-0.7233554124832153
528,-0.7250553369522095
529,-0.7222440838813782
530,-0.7251402735710144
531,-0.7231757640838623
532,-0.724335253238678
533,-0.724190354347229
534,-0.7222333550453186
535,-0.7200393676757812
536,-0.7273194789886475
537,-0.7234051823616028
538,-0.726466953754425
539,-0.7267409563064575
540,-0.7234863042831421
541,-0.7279115319252014
542,-0.7278618812561035
543,-0.7270000576972961
544,-0.7273666858673096
545,-0.7276633381843567
546,-0.7281544208526611
547,-0.725264310836792
548,-0.7255974411964417
549,-0.7284594178199768
550,-0.726215124130249
551,-0.7266375422477722
552,-0.7285223007202148
553,-0.7268804311752319
554,-0.7275028824806213
555,-0.7283932566642761
556,-0.7303407192230225
557,-0.7307356595993042
558,-0.7253830432891846
559,-0.730135440826416
560,-0.7264362573623657
561,-0.7311355471611023
562,-0.7316729426383972
563,-0.7289772629737854
564,-0.730037271976471
565,-0.7307776808738708
566,-0.7292158007621765
567,-0.730622410774231
568,-0.7217985391616821
569,-0.7346144318580627
570,-0.7286866307258606
571,-0.7313003540039062
572,-0.7328212857246399
573,-0.7283979654312134
574,-0.7350103259086609
575,-0.7295084595680237
576,-0.7342854142189026
577,-0.7311674952507019
578,-0.7237000465393066
579,-0.7329348921775818
580,-0.7316041588783264
581,-0.7331175804138184
582,-0.7321539521217346
583,-0.7276902794837952
584,-0.7340942621231079
585,-0.7277354598045349
586,-0.732548713684082
587,-0.7288938760757446
588,-0.7352893948554993
589,-0.7329305410385132
590,-0.7340223789215088
591,-0.7335600852966309
592,-0.7358683347702026
593,-0.7269501686096191
594,-0.732414960861206
595,-0.7335243225097656
596,-0.734585702419281
597,-0.7312895059585571
598,-0.7338489294052124
599,-0.7356730699539185
600,-0.7335057854652405
601,-0.7331187129020691
602,-0.7337260246276855
603,-0.733343243598938
604,-0.7349199056625366
605,-0.7348959445953369
606,-0.7361190319061279
607,-0.7358646392822266
608,-0.7349997758865356
609,-0.7355090379714966
610,-0.7359201908111572
611,-0.7361266613006592
612,-0.7348407506942749
613,-0.7364106178283691
614,-0.7365448474884033
615,-0.7357766628265381
616,-0.7333070635795593
617,-0.7369421124458313
618,-0.736797571182251
619,-0.7376332879066467
620,-0.7372201681137085
621,-0.7372616529464722
622,-0.7365103363990784
623,-0.7354674339294434
624,-0.7342222929000854
625,-0.7355819940567017
626,-0.7328661680221558
627,-0.7364972233772278
628,-0.7352066040039062
629,-0.7363935708999634
630,-0.7361303567886353
631,-0.7349173426628113
632,-0.7336770296096802
633,-0.737079381942749
634,-0.7345045804977417
635,-0.7319032549858093
636,-0.7343209981918335
637,-0.7342051863670349
638,-0.73825603723526
639,-0.738745391368866
640,-0.7351170182228088
641,-0.7381377220153809
642,-0.739408016204834
643,-0.7380444407463074
644,-0.7328182458877563
645,-0.7342053651809692
646,-0.7345117926597595
647,-0.7387616634368896
648,-0.7282314896583557
649,-0.7344815731048584
650,-0.7375500798225403
651,-0.7358704209327698
652,-0.7399781346321106
653,-0.7329826951026917
654,-0.7310019135475159
655,-0.735538899898529
656,-0.7390413284301758
657,-0.739234209060669
658,-0.7396271824836731
659,-0.7381445169448853
660,-0.7390294671058655
661,-0.7349138855934143
662,-0.7370893359184265
663,-0.7385953664779663
664,-0.7365015149116516
665,-0.7379166483879089
666,-0.7405037879943848
667,-0.7374066710472107
668,-0.7341245412826538
669,-0.7407693266868591
670,-0.739544689655304
671,-0.7377064824104309
672,-0.7361279726028442
673,-0.733849823474884
674,-0.7390586733818054
675,-0.7383825778961182
676,-0.7374581098556519
677,-0.7307692170143127
678,-0.7293024659156799
679,-0.7398170828819275
680,-0.7390215992927551
681,-0.7370206117630005
682,-0.7404038906097412
683,-0.7384172677993774
684,-0.7399439215660095
685,-0.7379652857780457
686,-0.737683117389679
687,-0.73957759141922
688,-0.739327073097229
689,-0.7339593768119812
690,-0.7405546307563782
691,-0.7366649508476257
692,-0.7418299913406372
693,-0.7332488894462585
694,-0.7343222498893738
695,-0.7389075756072998
696,-0.7357736825942993
697,-0.7357889413833618
698,-0.7391597628593445
699,-0.741150438785553
700,-0.7364004254341125
701,-0.7390572428703308
702,-0.7344984412193298
703,-0.7383130788803101
704,-0.7390441298484802
705,-0.7384499907493591
706,-0.7412542104721069
707,-0.738020658493042
708,-0.738133430480957
709,-0.7403346300125122
710,-0.7375701069831848
711,-0.7413543462753296
712,-0.7405160665512085
713,-0.7411383390426636
714,-0.7409660220146179
715,-0.7410741448402405
716,-0.7410620450973511
717,-0.7413658499717712
718,-0.7388250231742859
719,-0.7407187223434448
720,-0.7411038279533386
721,-0.7406442165374756
722,-0.738701581954956
723,-0.7409806847572327
724,-0.7394562363624573
725,-0.7416715621948242
726,-0.7412891983985901
727,-0.7405542731285095
728,-0.7414689064025879
729,-0.7402302622795105
730,-0.7415333390235901
731,-0.7404563426971436
732,-0.7390055060386658
733,-0.7404099702835083
734,-0.7367303371429443
735,-0.7349039912223816
736,-0.7280357480049133
737,-0.7382607460021973
738,-0.7388708591461182
739,-0.7419654130935669
740,-0.7430853247642517
741,-0.7400275468826294
742,-0.741883397102356
743,-0.739778995513916
744,-0.7429152131080627
745,-0.7386133670806885
746,-0.7416291832923889
747,-0.740936815738678
748,-0.7416461706161499
749,-0.7423499822616577
750,-0.7411980628967285
751,-0.7424595952033997
752,-0.7383495569229126
753,-0.7399451732635498
754,-0.7369298934936523
755,-0.7433966994285583
756,-0.7415267825126648
757,-0.7422685623168945
758,-0.7372040152549744
759,-0.744965672492981
760,-0.740430474281311
761,-0.7408896088600159
762,-0.7414881587028503
763,-0.740496039390564
764,-0.7414012551307678
765,-0.7417122721672058
766,-0.7417861223220825
767,-0.7415017485618591
768,-0.7419989705085754
769,-0.7424333095550537
770,-0.7395777702331543
771,-0.7412393689155579
772,-0.7401315569877625
773,-0.7388520240783691
774,-0.7418736219406128
775,-0.7411403059959412
776,-0.7413725256919861
777,-0.742658257484436
778,-0.7419742345809937
779,-0.7411956191062927
780,-0.7407274842262268
781,-0.7416337728500366
782,-0.7425035834312439
783,-0.7423677444458008
784,-0.7410929799079895
785,-0.7410549521446228
